Gene	log2FoldChange	pvalue	padj																																																																																																																																																																																																																																																																																																																																							Gene	ROTS.statistic	pvalue	FDR				Majority protein IDs	Protein names	Gene names	-Log Student's T-test p-value CA_CO	Student's T-test Difference CA_CO	Student's T-test Test statistic CA_CO
VTN	-0.01429478	0.844534137	0.99137931																																																																																																																																																																																																																																																																																																																																							P04004	-0.197814777	0.844534137	0.99137931				P04004	Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B	VTN	0.07382558	-0.01429478	-0.197807577
CFH	0.011710588	0.852925703	0.99137931																																																																																																																																																																																																																																																																																																																																							P08603	0.187451576	0.852925703	0.99137931				P08603	Complement factor H	CFH	0.069633304	0.011710588	0.187325714
TGFBI	0.034839364	0.853351406	0.99137931																																																																																																																																																																																																																																																																																																																																							Q15582	0.186935562	0.853351406	0.99137931				Q15582	Transforming growth factor-beta-induced protein ig-h3	TGFBI	0.069491945	0.034839364	0.186970881
TGOLN2	0.050958766	0.856222892	0.99137931																																																																																																																																																																																																																																																																																																																																							O43493;O43493-2;O43493-5;O43493-3;O43493-4	0.183123517	0.856222892	0.99137931				O43493;O43493-2;O43493-5;O43493-3;O43493-4	Trans-Golgi network integral membrane protein 2	TGOLN2	0.067959045	0.050958766	0.183117169
C7	-0.021074206	0.856550201	0.99137931																																																																																																																																																																																																																																																																																																																																							P10643	-0.182740921	0.856550201	0.99137931				P10643	Complement component C7	C7	0.067832477	-0.021074206	-0.182798493
SERPINA4	0.017392802	0.859291165	0.99137931																																																																																																																																																																																																																																																																																																																																							P29622	0.178974829	0.859291165	0.99137931				P29622	Kallistatin	SERPINA4	0.066353127	0.017392802	0.179068235
FCGBP	-0.042293726	0.859313253	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9Y6R7	-0.178943437	0.859313253	0.99137931				Q9Y6R7	IgGFc-binding protein	FCGBP	0.066289516	-0.042293726	-0.178907609
BASP1	0.025094099	0.865299197	0.99137931																																																																																																																																																																																																																																																																																																																																							P80723;P80723-2	0.171268053	0.865299197	0.99137931				P80723;P80723-2	Brain acid soluble protein 1	BASP1	0.06328206	0.025094099	0.171291742
C8G	-0.01865835	0.874024096	0.99137931																																																																																																																																																																																																																																																																																																																																							P07360	-0.159990367	0.874024096	0.99137931				P07360	Complement component C8 gamma chain	C8G	0.058835278	-0.01865835	-0.159952452
MBL2	0.0600216	0.874445783	0.99137931																																																																																																																																																																																																																																																																																																																																							P11226	0.159428839	0.874445783	0.99137931				P11226	Mannose-binding protein C	MBL2	0.058633706	0.0600216	0.159436194
SERPINF2	0.008843134	0.878196787	0.99137931																																																																																																																																																																																																																																																																																																																																							P08697;P08697-2	0.15454353	0.878196787	0.99137931				P08697;P08697-2	Alpha-2-antiplasmin	SERPINF2	0.056704921	0.008843134	0.154486296
KLKB1	0.012415331	0.879335341	0.99137931																																																																																																																																																																																																																																																																																																																																							P03952	0.153076195	0.879335341	0.99137931				P03952	Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain	KLKB1	0.056163953	0.012415331	0.153094739
IGF1	0.041994893	0.890845382	0.99137931																																																																																																																																																																																																																																																																																																																																							P05019-3;P05019-2;P05019-4;P05019	0.138186045	0.890845382	0.99137931				P05019-3;P05019-2;P05019-4;P05019	Insulin-like growth factor I	IGF1	0.050402399	0.041994893	0.13818425
IL1RAP	-0.040264839	0.890869478	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9NPH3-3;Q9NPH3-2;Q9NPH3;Q9NPH3-5	-0.138167237	0.890869478	0.99137931				Q9NPH3-3;Q9NPH3-2;Q9NPH3;Q9NPH3-5	Interleukin-1 receptor accessory protein	IL1RAP	0.050392407	-0.040264839	-0.138158247
FGA	0.024331603	0.893365462	0.99137931																																																																																																																																																																																																																																																																																																																																							P02671;P02671-2	0.135173212	0.893365462	0.99137931				P02671;P02671-2	Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain	FGA	0.049234766	0.024331603	0.135142244
AHSG	0.012235331	0.89425502	0.99137931																																																																																																																																																																																																																																																																																																																																							P02765	0.134005887	0.89425502	0.99137931				P02765	Alpha-2-HS-glycoprotein;Alpha-2-HS-glycoprotein chain A;Alpha-2-HS-glycoprotein chain B	AHSG	0.048811175	0.012235331	0.134036968
C6	0.010013447	0.895925703	0.99137931																																																																																																																																																																																																																																																																																																																																							P13671	0.131828471	0.895925703	0.99137931				P13671	Complement component C6	C6	0.048009719	0.010013447	0.131943225
C8B	-0.014670128	0.902789157	0.99137931																																																																																																																																																																																																																																																																																																																																							P07358	-0.123271363	0.902789157	0.99137931				P07358	Complement component C8 beta chain	C8B	0.044697525	-0.014670128	-0.123255422
C4BPA	-0.028142574	0.903066265	0.99137931																																																																																																																																																																																																																																																																																																																																							P04003	-0.122906779	0.903066265	0.99137931				P04003	C4b-binding protein alpha chain	C4BPA	0.044562479	-0.028142574	-0.122899997
SPARCL1	-0.015144437	0.906985944	0.99137931																																																																																																																																																																																																																																																																																																																																							Q14515;Q14515-2	-0.117731571	0.906985944	0.99137931				Q14515;Q14515-2	SPARC-like protein 1	SPARCL1	0.042589849	-0.015144437	-0.117697423
C1RL	-0.007690341	0.919078313	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9NZP8	-0.10248312	0.919078313	0.99137931				Q9NZP8	Complement C1r subcomponent-like protein	C1RL	0.036886265	-0.007690341	-0.10253916
LDHB	-0.018686738	0.920044177	0.99137931																																																																																																																																																																																																																																																																																																																																							P07195	-0.101301388	0.920044177	0.99137931				P07195	L-lactate dehydrogenase B chain	LDHB	0.03640133	-0.018686738	-0.101242311
SERPING1	-0.009344722	0.920791165	0.99137931																																																																																																																																																																																																																																																																																																																																							P05155-2;P05155;P05155-3	-0.100316746	0.920791165	0.99137931				P05155-2;P05155;P05155-3	Plasma protease C1 inhibitor	SERPING1	0.036057937	-0.009344722	-0.100323214
F13A1	-0.023832011	0.923006024	0.99137931																																																																																																																																																																																																																																																																																																																																							P00488	-0.097577589	0.923006024	0.99137931				P00488	Coagulation factor XIII A chain	F13A1	0.035032598	-0.023832011	-0.097575054
PTPRJ	0.023692286	0.924805221	0.99137931																																																																																																																																																																																																																																																																																																																																							Q12913-2;Q12913	0.095405691	0.924805221	0.99137931				Q12913-2;Q12913	Receptor-type tyrosine-protein phosphatase eta	PTPRJ	0.034234008	0.023692286	0.095430659
LYZ	-0.019306893	0.929508032	0.991489362																																																																																																																																																																																																																																																																																																																																							P61626	-0.089548352	0.929508032	0.991489362				P61626	Lysozyme C	LYZ	0.0320499	-0.019306893	-0.089547901
THBS1	-0.009130611	0.93511245	0.991489362																																																																																																																																																																																																																																																																																																																																							P07996;P07996-2;CON__Q28194	-0.082522287	0.93511245	0.991489362				P07996;P07996-2;CON__Q28194	Thrombospondin-1	THBS1	0.029455717	-0.009130611	-0.082526174
PLG	0.006540653	0.935825301	0.991489362																																																																																																																																																																																																																																																																																																																																							P00747	0.08161223	0.935825301	0.991489362				P00747	"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B"	PLG	0.029102855	0.006540653	0.081568157
OAF	-0.010808235	0.941738956	0.991596639																																																																																																																																																																																																																																																																																																																																							Q86UD1	-0.073937429	0.941738956	0.991596639				Q86UD1	Out at first protein homolog	OAF	0.026298929	-0.010808235	-0.073930436
SERPINA7	0.011938273	0.945606426	0.991596639																																																																																																																																																																																																																																																																																																																																							P05543	0.068968393	0.945606426	0.991596639				P05543	Thyroxine-binding globulin	SERPINA7	0.024503099	0.011938273	0.069015073
PROC	-0.005216554	0.947283133	0.991596639																																																																																																																																																																																																																																																																																																																																							P04070;P04070-2	-0.066773546	0.947283133	0.991596639				P04070;P04070-2	Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide	PROC	0.023622931	-0.005216554	-0.06659916
F9	-0.008441792	0.950833333	0.991631799																																																																																																																																																																																																																																																																																																																																							P00740-2;P00740	-0.062200813	0.950833333	0.991631799				P00740-2;P00740	Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain	F9	0.022024472	-0.008441792	-0.062200123
ATRN	-0.007813831	0.961843373	0.995850622																																																																																																																																																																																																																																																																																																																																							O75882-3;O75882-2;O75882	-0.048233771	0.961843373	0.995850622				O75882-3;O75882-2;O75882	Attractin	ATRN	0.016974903	-0.007813831	-0.048204302
SRGN	0.006619165	0.964321285	0.995850622																																																																																																																																																																																																																																																																																																																																							P10124	0.045194959	0.964321285	0.995850622				P10124	Serglycin	SRGN	0.015897794	0.006619165	0.045199118
IGFALS	-0.00443015	0.965947791	0.995867769																																																																																																																																																																																																																																																																																																																																							P35858;P35858-2	-0.043156955	0.965947791	0.995867769				P35858;P35858-2	Insulin-like growth factor-binding protein complex acid labile subunit	IGFALS	0.015175263	-0.00443015	-0.043179279
IGFBP3	0.005532819	0.97026506	0.995884774																																																																																																																																																																																																																																																																																																																																							P17936;P17936-2	0.037688318	0.97026506	0.995884774				P17936;P17936-2	Insulin-like growth factor-binding protein 3	IGFBP3	0.013211672	0.005532819	0.037673918
LBP	-0.005352065	0.979769076	0.995967742																																																																																																																																																																																																																																																																																																																																							P18428	-0.025762956	0.979769076	0.995967742				P18428	Lipopolysaccharide-binding protein	LBP	0.008997691	-0.005352065	-0.02577845
IGFBP4	0.004223402	0.982616466	0.995967742																																																																																																																																																																																																																																																																																																																																							P22692;P22692-2	0.02214617	0.982616466	0.995967742				P22692;P22692-2	Insulin-like growth factor-binding protein 4	IGFBP4	0.007697687	0.004223402	0.022086198
ENPP2	-0.002705995	0.989054217	0.995967742																																																																																																																																																																																																																																																																																																																																							Q13822;Q13822-3;Q13822-2	-0.014045282	0.989054217	0.995967742				Q13822;Q13822-3;Q13822-2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	ENPP2	0.004877819	-0.002705995	-0.014040147
ANPEP	0.003217653	0.990929719	0.995967742																																																																																																																																																																																																																																																																																																																																							P15144	0.011655417	0.990929719	0.995967742				P15144	Aminopeptidase N	ANPEP	0.00403843	0.003217653	0.011635177
CNTN1	0.002364358	0.992710843	0.995967742																																																																																																																																																																																																																																																																																																																																							Q12860-2;Q12860	0.009404164	0.992710843	0.995967742				Q12860-2;Q12860	Contactin-1	CNTN1	0.003244127	0.002364358	0.009355162
C3	0.999793173	1	1																																																																																																																																																																																																																																																																																																																																						P01024	-0.000241905	0.999793173	1				P01024	Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2	C3	0.000152603	-2.97E-05	-0.000441627	
